issue_id,priority,theme,title,classification,locations,evidence,consequence,action,acceptance,reviewers,owner,effort,dependencies
"JSS-001","P0","Likelihood correctness","Invalid numerical contributions can be dropped or replaced","confirmed defect","Section 2.3; Equations 3-4; likelihood evaluation code","Nonfinite marginal terms become NA; invalid copula terms can become 1; only finite terms are summed","The optimized objective can change its effective sample with parameter values","Use a fixed missingness-only inclusion mask; evaluate stable log contributions; reject invalid included terms with -Inf; add adversarial likelihood tests","Included marginal and pair counts are invariant over parameter proposals and independent calculations match package log-likelihoods","R02-B1","methods/package","L","none"
"JSS-002","P0","Inference correctness","Hessian checks can convert invalid curvature into finite standard errors","confirmed defect","Section 2.4; Appendix B; model-vcov-hessian code","Standard errors use absolute diagonal values and curvature sign is not enforced","Saddle points or unidentified fits can appear to have valid inference","Remove absolute-value masking; register numerical rank, condition-number, signed-eigenvalue, and gradient thresholds; fail inference with a classed condition when any threshold fails","Boundary tests at each registered threshold pass; singular and indefinite Hessians fail; valid analytical and numerical Hessians agree with unmasked SEs","R02-B2","methods/package","L","JSS-001"
"JSS-003","P0","Missing data","Intermittent gaps are not handled by the claimed observed-data likelihood and the dropout study is not dropout","confirmed defect","Section 4.3.3; Discussion; missingness runner","Observed visits separated by a missing visit are split rather than integrated; time_mar uses rowwise Bernoulli deletion; 90 of 480 fits failed","Claims about MAR, dropout, ordinary likelihood criteria, and robustness are unsupported","Support ordinary likelihood only for complete panels and ignorable observed prefixes/monotone dropout; flag interior gaps as a segmented composite objective, disable ordinary AIC/BIC and model-based Hessian inference for those fits, and allow sandwich/bootstrap only as sensitivity tools; add genuine monotone dropout and disclose all failures","Three/four-visit tests verify the documented segmented objective rather than an integrated likelihood; interior-gap fits carry a classed composite flag and AIC/BIC errors; complete/prefix likelihood tests pass; simulated dropout is monotone; attempt/failure counts reconcile","R02-B4;R03-B3;R06-B3;R01-M5","methods/simulation","XL","JSS-001,JSS-002,JSS-032"
"JSS-004","P0","Simulation integrity","Headline recovery design does not match staged evidence","confirmed defect","Table 4; Figure 4; Tables 5-6","Manuscript states n=250/1000, T=5/20, and 1000 replicates; staged assets are n=500, T=4, and 100 replicates","Readers cannot know which experiment supports recovery, coverage, and runtime claims","Choose the actual target design, regenerate it, and generate scenario metadata and manuscript design tables from attempt-level inputs","For every artifact, scenario ID, n, T, attempted/successful replicates, seeds, and exclusions agree automatically across manuscript and data","R02-B3;R03-B1","simulation/paper","L","JSS-001,JSS-002"
"JSS-005","P0","Simulation integrity","Optimizer comparison mixes incompatible designs and overstates conclusions","confirmed defect","Section 4.2; Appendix F; Tables 18-21","Normal has 10 replicates while Gamma/NBI have 100; scenario dimensions differ by family; several stated directions contradict tables","User-facing optimizer guidance lacks a valid causal contrast","Replace with a paired factorial design varying one dimension at a time across families; report uncertainty, sign probabilities, runtime, convergence, and failures","Generated scenario table matches every input; each contrast changes only its named factor; narrative direction checks pass","R03-B2;R01-M4","simulation","XL","JSS-001,JSS-002"
"JSS-006","P0","Submission form","Frozen paper is an annotated internal draft and unresolved decisions remain","confirmed defect","Whole manuscript; pages 1-47","Visible red notes/TODOs remain and substantive choices are unresolved","The paper is not a reviewable scientific record","Resolve every author question, remove all draft macros/notes, and produce a clean manuscript snapshot after the evidence and architecture are final","Searches find zero draft/TODO/revision-note content; a decision log accounts for each removed note; the final source and PDF agree","R04-B1;R06-B1;R07-B1;R08-B3","paper","M","JSS-012,JSS-022,JSS-023,JSS-028"
"JSS-007","P0","Reproducibility","Implemented replication workflow and manuscript instructions are not yet aligned or fully accepted","confirmed workflow defect","Section 6; replication workflow; verification status","Manuscript names expanded and claims all results exact; full/tolerance/CI gates remain incomplete; workflow inputs are not yet in a cloneable state","A reviewer cannot rely on the written commands or current acceptance status","Rewrite Section 6 around smoke/paper/full and the exact LIPID exception; track the complete workflow; wire full metric-level tolerance checks; archive clean paper/full/resume and Windows/Ubuntu evidence before release","Fresh Windows and Ubuntu clones pass smoke/paper; the canonical platform passes full from empty checkpoints and resume with zero repeated fits; all declared tolerance checks and public artifact mappings pass","R01-B3;R04-B2;R05-B1/B2/B3;R08-B4","reproducibility/paper","XL","JSS-004,JSS-005,JSS-021,JSS-026,JSS-033"
"JSS-008","P0","Estimands and links","Parameter scales and applied interpretations are incomplete or incorrect","confirmed defect","Sections 2.2 and 5; Tables 2-3 and 15; LIPID prose","Links/domains/caps are incompletely documented; location is called mean; dependence is called correlation; LIPID theta/tail interpretations conflict with fitted scale and displayed values","Users can report the wrong estimand or make invalid scientific claims","Publish a family-specific estimand/link table with inverse links, domains, bounds, independence and tail transforms; rewrite all clinical interpretations on natural and Kendall/tail scales","Every coefficient and plot identifies link and natural scale; automated examples reproduce reported transformations; no generic correlation language is used incorrectly","R02-M3/N2;R06-B2/M2/N1;R01-m3","methods/applied/paper","L","JSS-001"
"JSS-009","P0","Software correctness","Advertised logLik and vcov methods violate standard R contracts","confirmed defect","Section 3.2.4; logLik/vcov implementation","logLik/vcov outputs do not consistently satisfy scalar/class/attribute and coefficient-alignment contracts","AIC/BIC and downstream R tooling can be incorrect or unusable","Return a scalar classed logLik with finite df/nobs, scalar finite AIC/BIC where the objective permits them, and a named covariance matrix aligned exactly with coef; add generic contract tests","Standard generics and downstream model-comparison tests pass for ordinary-likelihood fits; composite-gap fits reject AIC/BIC with the documented classed condition","R04-M1","package/software","M","JSS-001,JSS-002,JSS-003"
"JSS-010","P0","Diagnostics","Discrete PIT/Rosenblatt and automatic pass/fail rules are invalid or uncalibrated","confirmed defect","Section 3.2.5; check_model; clinical diagnostics","Discrete checks use upper CDF rather than randomized PIT; KS dependence/parameter estimation is ignored; manuscript reverses the p-value inequality","Correct models may fail and misspecified models may pass","Implement reproducible randomized discrete residuals where supported; remove formal pass/fail language and fixed thresholds from check_model; return descriptive flags with documented limitations and explicitly report higher-lag diagnostics as unavailable when not computed","Tests verify randomized residual reproducibility and distribution under representative correct models; output/help/manuscript contain no unqualified pass/fail claim; the p-value inequality is correct; higher-lag availability is explicit","R02-M4;R04-M3/m1;R01-M9;R06-M5","methods/package","L","JSS-001,JSS-030"
