item,page,status,priority,issue,action
"Figure 1",4,"redesign","major","Pale tiny points and small axes reduce contrast and print readability","Increase point opacity/size and annotation fonts; use a darker accessible treatment"
"Figure 2",14,"move","blocking","Float interrupts the margin_screen output begun on page 13","Place after the complete related code/output; retain graphic with slightly larger labels"
"Figure 3",16,"redesign","major","Nine diagnostics are compressed into caption-subscale panels","Split into grouped diagnostics and enlarge all panel text/legends"
"Figure 4",18,"redesign","major","Six small facets and caption says absolute bias although negative values are plotted","Enlarge/simplify facets and reconcile signed versus absolute bias"
"Figure 5",24,"redesign","major","Very light dual heatmaps have small keys and weak neutral-value guidance","Use accessible scales, explicit zero/neutral reference, and selected numeric annotations"
"Figure 6",26,"keep","minor","Useful seven-panel comparison but legend/strip text is borderline small","Retain structure; enlarge annotations and verify one consistent distribution key"
"Figure 7",27,"redesign","major","Cyan/salmon contours rely on color and do not directly expose model differences","Use redundant line styles/direct labels and an accessible palette"
"Figure 8",29,"redesign","major","Duplicate treatment legends, color-reliant overlays, and incorrect true histogram wording","Unify legend, add redundant encoding, raise fill contrast, and label data as observed"
"Figure 9",30,"redesign","major","Observed bins are nearly invisible and the caption does not define marks","Increase bin contrast, distinguish fit redundantly, and make caption self-contained"
"Figure 10",37,"redesign","major","Small legend/axes and an empty model-parameter facet waste space","Remove empty facet, enlarge labels, and use a compact comparison layout"
"Figure 11",37,"redesign","major","Sparse tiny facets and absolute-bias caption conflicts with negative values","Reformat as a compact coefficient plot and correct the estimand wording"
"Figure 12",38,"redesign","major","Small annotations and empty/sparse facet structure reduce usable area","Remove unavailable facets and enlarge legend, strips, and ribbon explanation"
"Figure 13",42,"move","blocking","Missingness figure appears after both H and I headings, obscuring appendix ownership","Place under H before heading I; retain shape redundancy and enlarge strips"
"Figure 14",43,"move","blocking","Eighteen-panel H figure appears after References begins and text is very small","Move under H before I/References, then split or enlarge the facet grid"
"Figure 15",44,"move","blocking","I figure is embedded in the reference list","Move under I before References; retain plot with consistent caption punctuation"
"Figure 16",45,"move","blocking","Nine-panel I diagnostic appears alone inside References with caption-subscale labels","Move under I before References and split/enlarge diagnostic groups"
"Figure 17",46,"move","blocking","Sixteen-panel term plot is inside References and labels are difficult to decode","Move under I before References; redesign as grouped coefficient/term plots"
"Figure 18",47,"move","blocking","Tail-calibration figure appears before the last references rather than in Appendix I","Move under I before References; enlarge legend and retain line-style redundancy"
"Table 1",2,"redesign","major","Thirteen crowded columns and notes render at roughly 5-6 pt","Split comparisons, abbreviate repeated fields, and restore caption-size body text"
"Table 2",7,"keep","minor","Logical compact summary but mathematical entries and notes are borderline small","Retain; enlarge formula cells/notes and verify symbol definitions"
"Table 3",8,"redesign","major","Long copula formulas are compressed to roughly 5-7 pt","Split formula and tail-dependence content or move full formulas to an appendix"
"Table 4",18,"keep","minor","Clear compact design with a slightly small note","Retain and enlarge the note to match caption scale"
"Table 5",19,"keep","minor","Readable comparison with ample width but dense statistical notation","Retain; standardize decimal alignment and note size"
"Table 6",19,"redesign","major","Large parameter matrix reaches approximately 6 pt and is hard to scan","Split by parameter block or move detailed rows to an appendix; enlarge type"
"Table 7",20,"keep","minor","Useful guidance table but prose-heavy cells are dense","Retain; tighten wording and keep body/notes at readable size"
"Table 8",21,"keep","minor","Strong decision-oriented structure; caption lacks consistent terminal punctuation","Retain and standardize caption/line breaks"
"Table 9",21,"keep","minor","Compact scenario key is visually effective","Retain; enlarge mathematical expression only if final print test fails"
"Table 10",22,"redesign","major","Dense 13-column multilevel header creates high decoding load","Split AR(1) and exchangeable results or separate fit from dependence metrics"
"Table 11",23,"keep","minor","Narrower benchmark table is readable but metric group labels are visually close","Retain; add spacing or subtle rule between metric groups"
"Table 12",26,"keep","minor","Short AIC comparison is clear but caption style is inconsistent","Retain and standardize caption punctuation/decimal alignment"
"Table 13",26,"redesign","major","Body and long explanatory note render around 6.5 pt on an already dense page","Move detail to appendix or simplify columns; enlarge note and body"
"Table 14",27,"redesign","major","Model formulas and sequential-comparison note are too small for reliable reading","Use wrapped formula labels or a staged model table with fewer columns"
"Table 15",28,"keep","minor","Dense but well grouped full-page coefficient table","Retain; enlarge/signpost the final link-function note and verify decimal alignment"
"Table 16",37,"keep","minor","Readable summary but crowded beneath two figures","Retain after page reflow; give it more vertical separation"
"Table 17",38,"keep","minor","Parameter blocks are compact and coherent","Retain; enlarge table note/caption if needed after reflow"
"Table 18",39,"keep","minor","Clear scenario table; caption punctuation is inconsistent","Retain and standardize caption/abbreviation notes"
"Table 19",40,"move","blocking","Float interrupts the Appendix G simulation code","Place with Tables 18-21 before G or after the complete code block"
"Table 20",40,"move","blocking","Float interrupts the Appendix G simulation code","Place with Tables 18-21 before G or after the complete code block"
"Table 21",41,"move","blocking","Float interrupts the Appendix G simulation code immediately before it resumes","Place with Tables 18-21 before G or after the complete code block"
