area,review_question,implementation_entry_point,primary_tests,paper_module,status
model fitting wrapper,Where does the user-facing fit workflow begin?,R/model-fit.R::gamlss_longitudinal(); R/model-fit-workflow.R::.gl_prepare_fit_workflow(); R/model-fit-setup.R::.gl_initialize_fit_optimizer_context(); R/model-fit-setup-context.R::.gl_fit_optimizer_context_bundle(); R/model-fit-optimizer-args.R::.gl_prepared_fit_optimizer_args(); R/model-fit-optimizer.R::.gl_run_prepared_fit_optimizer(); R/model-optimizer-dispatch.R::.gl_run_fit_optimizer(); R/model-optimizer-dispatch-cg.R::.gl_run_fit_cg_optimizer(); R/model-optimizer-dispatch-rs.R::.gl_run_fit_rs_optimizer(); R/model-fit-finalize.R::.gl_finalize_prepared_fit(),tests/testthat/test-p0-model-fit-workflow.R; tests/testthat/test-p0-model-fit-setup.R; tests/testthat/test-p0-model-optimizer-dispatch.R; tests/testthat/test-p0-model-fit-result.R; tests/testthat/test-p1-core.R,cross-module,pre-optimizer workflow setup context optimizer context bundling prepared-optimizer argument builder prepared-optimizer bridge optimizer router CG and RS branch-specific dispatch and prepared-finalization bridge helpers extracted
model fitting entrypoint,Where is the public fit call sequenced into workflow optimizer and finalization phases?,R/model-fit-entrypoint.R::.gl_run_gamlss_longitudinal_entrypoint(); R/model-fit-original-formulas.R::.gl_original_formula_bundle(); R/capability-registry.R,tests/testthat/test-p0-model-fit-entrypoint.R; tests/testthat/test-p0-capability-registry.R,cross-module,public fit orchestration original-formula metadata and validated margin-copula capability routing extracted behind stable reviewer-facing contracts
fit controls,Where are optimizer vcov step-size elapsed-budget and convergence controls normalized?,R/model-controls-fit.R::.gl_normalize_fit_controls(); R/model-controls-fit-normalizers.R; R/model-controls-step.R::.gl_normalize_step_controls(); R/model-controls-budget.R::.gl_check_elapsed_budget(); R/model-controls-budget.R::.gl_build_elapsed_budget_checker(); R/model-optimizer-control.R; R/model-convergence-conditions.R,tests/testthat/test-p0-model-controls.R; tests/testthat/test-p0-optimizer-control-convergence.R,cross-module,internal control normalization scalar fit-control normalizers unified optimizer bundles convergence conditions step controls and elapsed-budget helpers extracted
data preparation,How are time subject response input-policy formulas and missing panels prepared?,R/model-data-shape.R::.gl_validate_tabular_shape(); R/model-preprocess-input.R::.gl_normalize_fit_input_columns(); R/model-column-policy.R::.gl_has_supported_base_column_class(); R/model-column-policy.R::.gl_validate_fitting_data_policy(); R/model-formula-variables.R::.gl_formula_variables(); R/model-time-lag.R::normalize_lag_time(); R/model-time.R::.gl_prepare_time_subject_columns(); R/model-formulas.R; R/model-missing-panel-grid.R::.gl_fit_full_panel_grid(); R/model-missing-panels.R; R/model-missingness-contract.R::.gl_missingness_contract(); R/model-preprocess.R::.gl_prepare_fit_data(),tests/testthat/test-p0-model-preprocess.R; tests/testthat/test-p0-missingness-contract.R; tests/testthat/test-p2-srr-input-policy.R; tests/testthat/test-p1-core.R,cross-module,input normalization input-policy time coercion formula translation structural-panel grid expansion and explicit intermittent-gap likelihood contract
model matrices,How are formulas converted to fixed smooth matrices and eta values?,R/model-matrix.R::create_model_matrices(); R/model-matrix-parameter-data.R::.gl_model_matrix_parameter_dataset(); R/model-matrix-fixed.R::.gl_build_fixed_model_matrix(); R/model-matrix-smooth.R::.gl_build_smooth_model_matrices(); R/model-matrix-data.R::.gl_build_model_matrix_proxy_dataset(); R/model-matrix-data.R::.gl_sanitize_for_gamlss2(); R/model-matrix-formulas.R::.gl_to_response_formula(); R/model-matrix-formulas.R::.gl_normalize_time_covariate_colnames(); R/model-matrix-formulas.R::.gl_model_matrix_included_parameters(); R/model-eta.R::calc_eta(); R/model-eta.R::.calc_eta_rs_cached(); R/model-matrix-bundle.R::.gl_build_model_matrix_bundle(),tests/testthat/test-p0-model-matrix-bundle.R; tests/testthat/test-p1-core.R; tests/testthat/test-p2-srr-regression-edge-cases.R,cross-module,matrix construction parameter-row selection fixed-design smooth-basis proxy-data sanitization formula normalization eta evaluation and fitting bundle helpers split
starting values,How are margin and copula starting values and initial optimizer state selected?,R/model-starting-values.R::get_starting_values(); R/model-starting-margin.R::.starting_margin_parameter_values(); R/model-starting-copula.R::.select_t_copula_zeta_start(); R/model-starting-moments.R::.starting_moment_skewness(); R/model-starting-moments.R::.starting_moment_kurtosis(); R/model-starting-state.R::.gl_build_initial_parameter_state(); R/model-parameter-transforms.R,tests/testthat/test-p0-model-starting-state.R; tests/testthat/test-p0-regressions.R; tests/testthat/test-p1-core.R,cross-module,starting-value selection margin-family starts copula zeta grid-search moment starts parameter transforms and initial-state helper split
warm starts,Where is the optional separate RS warm-start phase controlled?,R/model-warm-start-policy.R::.gl_should_run_joint_warm_start(); R/model-warm-start.R::.gl_run_joint_warm_start(); R/model-warm-start-fit-call.R::.gl_call_joint_warm_start_fit(); R/model-warm-start-result.R::.gl_joint_warm_start_result(),tests/testthat/test-p0-model-warm-start.R; tests/testthat/test-p0-regressions.R,cross-module,internal warm-start policy runner captured separate-fit call and accepted-result helpers extracted
fitted result assembly,How is the final fitted object convergence information and fit-time vcov cache assembled?,R/model-fit-finalize.R::.gl_finalize_prepared_fit(); R/model-fit-result.R::.gl_finalize_fit_workflow(); R/model-fit-convergence.R::.gl_build_convergence_info(); R/model-fit-convergence.R::.gl_fit_information_criteria(); R/model-fit-object.R::.gl_finalize_fit_object(); R/model-fit-object-fields.R::.gl_build_fit_object_core(); R/model-fit-object-fields.R::.gl_attach_fit_optimizer_traces(); R/model-fit-reporting.R::.gl_print_fit_summary(); R/model-fit-reporting.R::.gl_attach_fit_vcov(),tests/testthat/test-p0-model-fit-result.R; tests/testthat/test-p1-core.R; tests/testthat/test-p0-regressions.R,cross-module,prepared-finalization bridge post-optimizer finalization workflow convergence information-criteria reporting vcov-cache core object field assembly optimizer trace attachment and object assembly helpers split
optimizer RS,Where is RS fitting implemented?,R/optimizer-rs-runner.R::.gl_run_rs_optimizer(); R/optimizer-rs-parameter-loop.R::.gl_run_rs_parameter_iterations(); R/optimizer-rs-inner-iteration.R::.gl_run_rs_inner_iteration_step(); R/optimizer-rs-design-cache.R::.gl_build_rs_design_cache(); R/optimizer-rs-eta.R::.gl_build_rs_eta_calculator(); R/optimizer-rs-eta.R::.gl_validate_rs_eta_lengths(); R/optimizer-rs-backfitting-inputs.R::.gl_prepare_rs_score_inputs(); R/optimizer-rs-diagnostics.R::.gl_record_rs_timer_step(); R/optimizer-rs-likelihood.R::.gl_evaluate_rs_iteration_likelihood_state(); R/optimizer-rs-likelihood.R::.gl_evaluate_rs_parameter_score_state(); R/optimizer-rs-backfitting.R::.gl_run_rs_inner_backfitting_step(); R/optimizer-rs-backfitting-inputs.R::.gl_rs_beta_start(); R/optimizer-rs-backfitting-inputs.R::.gl_rs_backfitting_inputs(); R/optimizer-rs-likelihood-context.R::.gl_rs_likelihood_context(); R/optimizer-rs-likelihood-context.R::.gl_rs_discrete_scores(); R/optimizer-rs-likelihood-context.R::.gl_rs_copula_derivative_context(); R/optimizer-rs-score-dispatch.R::.gl_rs_parameter_score(); R/optimizer-rs-score-copula.R::.gl_rs_copula_parameter_score(); R/optimizer-rs-score-margin.R::.gl_rs_margin_parameter_score(); R/optimizer-rs-backfitting-iteration.R::.gl_rs_backfitting_iteration(); R/optimizer-rs-backfitting-runner-factory.R::.gl_build_rs_backfitting_runner(); R/optimizer-rs-acceptance.R::.gl_run_rs_backfitting_acceptance(); R/optimizer-rs-backfitting-proposal.R::.gl_rs_prepare_backfitting_proposal(); R/optimizer-rs-lambda.R::.gl_rs_update_smoothing_parameters(); R/optimizer-rs-acceptance-policy.R::.gl_rs_accept_backfitting_step(); R/optimizer-rs-acceptance-policy.R::.gl_apply_rs_acceptance_state(); R/optimizer-rs-acceptance-policy.R::.gl_report_rs_acceptance(); R/optimizer-rs-diagnostics.R::.gl_plot_rs_progress(); R/optimizer-state.R::.gl_initialize_optimizer_state(); R/optimizer-state.R::.gl_initialize_rs_parameter_state(); R/optimizer-state.R::.gl_update_rs_outer_start_state(); R/optimizer-state.R::.gl_append_optimizer_history(); R/optimizer-state.R::.gl_initialize_unit_weights(); R/optimizer-stop-criteria.R::.gl_resolve_stop_criteria(); R/optimizer-rs-loop-stopping.R::.gl_should_continue_rs_inner_loop(); R/optimizer-rs-loop-stopping.R::.gl_should_continue_rs_outer_loop(); R/optimizer-rs-loop-stopping.R::.gl_update_outer_negative_streak(); R/optimizer-rs-reporting.R::.gl_print_outer_iteration_summary(); R/optimizer-rs-reporting.R::.gl_print_outer_convergence(); R/optimizer-rs-loop-stopping.R::.gl_update_rs_outer_iteration_state(); R/model-fit.R::gamlss_longitudinal(),tests/testthat/test-p0-optimizer-rs-runner.R; tests/testthat/test-p0-optimizer-rs-design-cache.R; tests/testthat/test-p0-optimizer-state.R; tests/testthat/test-p0-optimizer-stopping.R; tests/testthat/test-p1-core.R; tests/testthat/test-p0-regressions.R,cross-module,outer-inner loop runner parameter loop inner likelihood-score-backfitting step design-cache eta-calculator validation beta-start timer bookkeeping iteration-likelihood-state parameter-score-state inner-backfitting-step backfitting-input preparation likelihood context discrete-score precompute copula-derivative context score-dispatch copula-score margin-score backfitting iteration runner-factory proposal sequencing lambda-update acceptance orchestration accepted-state policy diagnostics progress-plotting state history unit-weight stop-criteria resolution inner-state outer-start inner-loop outer-loop loop-state and outer-reporting helpers split with likelihood context score backfitting proposal and acceptance policy helpers split
optimizer RS likelihood state,Where is the RS inner-iteration likelihood state assembled?,R/optimizer-rs-likelihood-state.R::.gl_build_rs_iteration_likelihood_state(); R/optimizer-rs-likelihood.R::.gl_evaluate_rs_iteration_likelihood_state(),tests/testthat/test-p0-optimizer-rs-design-cache.R,cross-module,RS likelihood-state return contract isolated from likelihood evaluation sequencing
optimizer RS score state,Where is the RS parameter-score state assembled?,R/optimizer-rs-score-state.R::.gl_build_rs_parameter_score_state(); R/optimizer-rs-likelihood.R::.gl_evaluate_rs_parameter_score_state(),tests/testthat/test-p0-optimizer-rs-design-cache.R,cross-module,RS parameter-score return contract isolated from copula derivative discrete-score and score sequencing
optimizer RS result,Where is the final RS optimizer result object assembled?,R/optimizer-rs-result.R::.gl_build_rs_optimizer_result(),tests/testthat/test-p0-optimizer-rs-runner.R,cross-module,final RS optimizer return contract isolated for reviewer inspection
